name,longitude,latitude
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-93.8679171,58.7458078
Passerella iliaca,-94.8377991,59.1437264
Passerella iliaca,-98.4818888,58.7290666
Passerella iliaca,-93.8122559,58.6104796
Passerella iliaca,-94.05148,58.70802
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-99.671059,59.942718
Passerella iliaca,-93.0057903,57.2911127
Passerella iliaca,-93.8085633,58.61621
Passerella iliaca,-93.8122559,58.6104796
Passerella iliaca,-94.1917199,57.394772
Passerella iliaca,-94.1329193,58.6992406
Passerella iliaca,-93.0270786,57.1125509
Passerella iliaca,-98.4774323,58.850193
Passerella iliaca,-100.4290161,58.9345436
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-94.112725,58.730793
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-93.4716644,58.286953
Passerella iliaca,-100.44047,58.92243
Passerella iliaca,-98.1360169,58.5333977
Passerella iliaca,-92.0250483,55.8511592
Passerella iliaca,-92.31057,57.00488
Passerella iliaca,-93.7885666,58.7340048
Passerella iliaca,-98.4544296,58.5122414
Passerella iliaca,-93.8634825,58.7272156
Passerella iliaca,-94.1832164,57.345684
Passerella iliaca,-93.2066321,57.7436926
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-93.8427258,58.7451398
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-98.8584137,58.8229752
Passerella iliaca,-93.92569,58.75865
Passerella iliaca,-94.13593,58.68897
Passerella iliaca,-94.1693115,58.6631919
Passerella iliaca,-93.0121155,57.2981453
Passerella iliaca,-93.8885593,58.7442491
Passerella iliaca,-93.8366318,58.7156465
Passerella iliaca,-93.8598061,58.7467429
Passerella iliaca,-93.458635,58.6882755
Passerella iliaca,-93.4818186,58.2851629
Passerella iliaca,-98.863678,58.8230171
Passerella iliaca,-93.9861488,58.7547575
Passerella iliaca,-93.4868546,58.2830963
Passerella iliaca,-93.8391127,58.7156737
Passerella iliaca,-99.79105,59.992977
Passerella iliaca,-94.0125847,58.7545869
Passerella iliaca,-98.8438339,58.8087235
Passerella iliaca,-97.0499802,59.8607254
Passerella iliaca,-93.81768,58.63109
Passerella iliaca,-93.3860051,57.6493333
Passerella iliaca,-93.8634825,58.7272156
Passerella iliaca,-100.5580545,58.8105151
Passerella iliaca,-92.0362819,55.8593797
Passerella iliaca,-93.8174915,58.7353412
Passerella iliaca,-93.8342285,58.6669413
Passerella iliaca,-93.8052177,58.7333366
Passerella iliaca,-93.0167694,57.1687775
Passerella iliaca,-94.0361491,58.7259432
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-93.85119,58.69846
Passerella iliaca,-93.8427258,58.7451398
Passerella iliaca,-92.9963989,57.2995491
Passerella iliaca,-98.2859879,58.7028046
Passerella iliaca,-92.9966965,57.1065712
Passerella iliaca,-94.0657139,58.7276057
Passerella iliaca,-93.8427258,58.7451398
Passerella iliaca,-93.9660645,58.7354302
Passerella iliaca,-98.8533478,58.8222504
Passerella iliaca,-93.8274479,58.7430912
Passerella iliaca,-92.9856033,57.1046562
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-100.8333206,57.0229454
Passerella iliaca,-94.13593,58.68897
Passerella iliaca,-93.81768,58.63109
Passerella iliaca,-92.2013251,55.8529326
Passerella iliaca,-98.8627396,58.8203011
Passerella iliaca,-93.92569,58.75865
Passerella iliaca,-100.3675842,58.9168129
Passerella iliaca,-93.8342285,58.6669413
Passerella iliaca,-94.5373077,58.8245087
Passerella iliaca,-92.8589783,56.3398323
Passerella iliaca,-96.3970108,54.3730393
Passerella iliaca,-94.9341559,59.3444037
Passerella iliaca,-93.9899685,57.4046582
Passerella iliaca,-93.8124704,58.7403856
Passerella iliaca,-93.9664078,58.7655299
Passerella iliaca,-98.8493424,58.8276177
Passerella iliaca,-98.3060594,59.9845265
Passerella iliaca,-93.9020348,58.7406862
Passerella iliaca,-93.8342285,58.6669413
Passerella iliaca,-93.81768,58.63109
Passerella iliaca,-92.6732941,56.6968041
Passerella iliaca,-93.0222419,57.3069839
Passerella iliaca,-98.477066,58.8339005
Passerella iliaca,-94.9316864,59.1431923
Passerella iliaca,-93.8226414,58.73935
Passerella iliaca,-95.2242136,56.3410201
Passerella iliaca,-93.0171433,57.1579552
Passerella iliaca,-93.8226414,58.73935
Passerella iliaca,-93.8193056,58.7372222
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-92.5174327,56.1241304
Passerella iliaca,-94.241539,58.6113777
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-97.0323639,59.9001083
Passerella iliaca,-99.868984,59.802534
Passerella iliaca,-97.0399189,59.7931371
Passerella iliaca,-93.8342285,58.6669413
Passerella iliaca,-93.8122559,58.6104796
Passerella iliaca,-92.2478329,55.9508787
Passerella iliaca,-94.1907644,57.3863453
Passerella iliaca,-99.671059,59.942718
Passerella iliaca,-93.4625816,58.7277676
Passerella iliaca,-94.18103,58.77398
Passerella iliaca,-91.6662064,57.1172905
Passerella iliaca,-94.6000671,58.817482
Passerella iliaca,-94.1717148,58.6757775
Passerella iliaca,-93.9061546,58.7433807
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-95.3037814,59.6078992
Passerella iliaca,-94.1300736,58.5423164
Passerella iliaca,-93.8634825,58.7272156
Passerella iliaca,-93.85119,58.69846
Passerella iliaca,-94.13593,58.68897
Passerella iliaca,-93.4625816,58.7277676
Passerella iliaca,-94.1460987,58.7560421
Passerella iliaca,-93.8174057,58.7340939
Passerella iliaca,-98.3260021,59.9546918
Passerella iliaca,-93.8634825,58.7272156
Passerella iliaca,-92.2183308,55.9105306
Passerella iliaca,-93.8274479,58.7430912
Passerella iliaca,-93.2286712,57.6738119
Passerella iliaca,-66.6655833,47.1968611
Passerella iliaca,-66.674915,45.9761407
Passerella iliaca,-68.5108173,47.3025158
Passerella iliaca,-66.542675,47.211341
Passerella iliaca,-66.536293,47.2571553
Passerella iliaca,-66.87954,47.419304
Passerella iliaca,-52.6865287,47.6059547
Passerella iliaca,-59.2278314,47.7782997
Passerella iliaca,-52.7233458,47.5884232
Passerella iliaca,-61.16595,52.1574
Passerella iliaca,-52.7598023,47.572733
Passerella iliaca,-54.66855,49.00736
Passerella iliaca,-66.9193573,52.9500809
Passerella iliaca,-52.8005505,47.2845276
Passerella iliaca,-52.787036,47.451229
Passerella iliaca,-57.2707312,49.764774
Passerella iliaca,-52.8046857,47.4516261
Passerella iliaca,-52.7893066,47.4514245
Passerella iliaca,-60.8700514,52.1977052
Passerella iliaca,-66.3299561,52.7828311
Passerella iliaca,-52.7434731,47.5781469
Passerella iliaca,-57.9018974,48.1722677
Passerella iliaca,-53.0091238,47.5061583
Passerella iliaca,-52.7431297,47.4498864
Passerella iliaca,-52.7631436,47.5836746
Passerella iliaca,-53.832576,48.372155
Passerella iliaca,-57.68438,48.07651
Passerella iliaca,-53.75335,48.58735
Passerella iliaca,-55.5572176,51.3560968
Passerella iliaca,-52.897158,47.339987
Passerella iliaca,-52.8965014,46.9477418
Passerella iliaca,-58.6669922,48.5711553
Passerella iliaca,-63.2443428,58.876042
Passerella iliaca,-58.7825632,48.5613859
Passerella iliaca,-55.5361028,51.594669
Passerella iliaca,-60.1412201,53.5291867
Passerella iliaca,-52.8293896,47.2734785
Passerella iliaca,-56.800561,51.55861
Passerella iliaca,-56.94734,51.48205
Passerella iliaca,-58.540864,48.5187523
Passerella iliaca,-56.881671,51.5182503
Passerella iliaca,-57.8565788,49.7840055
Passerella iliaca,-53.7371216,48.3212629
Passerella iliaca,-52.8145409,47.4740552
Passerella iliaca,-53.6411762,46.7933022
Passerella iliaca,-54.002399,48.6673509
Passerella iliaca,-60.2617264,53.4790565
Passerella iliaca,-52.6806148,47.5709874
Passerella iliaca,-58.6669922,48.5711553
Passerella iliaca,-52.8201199,47.4475647
Passerella iliaca,-58.5767771,48.5682998
Passerella iliaca,-66.3299561,52.7828311
Passerella iliaca,-53.849144,48.3587405
Passerella iliaca,-53.2301331,47.7371299
Passerella iliaca,-53.7560692,49.3876903
Passerella iliaca,-52.7316991,47.5787462
Passerella iliaca,-66.9062233,52.9392246
