Band Value,elevation Count
40,1
48,
56,
64,
72,
80,
88,
96,
104,
112,
120,
128,1
136,1
144,
152,1
160,2
168,
176,1
184,1
192,
200,1
208,1
216,1
224,
232,
240,
248,
256,1
264,
272,
280,
288,1
296,
304,2
312,3
320,4
328,1
336,4
344,2
352,2
360,1
368,3
376,
384,
392,2
400,1
408,2
416,6
424,7
432,1
440,1
448,4
456,
464,3
472,1
480,1
488,
496,
504,1
512,
520,2
528,2
536,
544,1
552,
560,1
568,1
576,
584,
592,
600,
608,
616,
624,
632,1
640,2
648,
656,3
664,
672,1
680,
688,1
696,
704,
712,
720,
728,
736,
744,
752,
760,1
768,
776,1
784,1
792,
800,
808,
816,
824,
832,
840,
848,1
856,
864,1
872,1
880,
888,
896,
904,1
912,1
920,
928,
936,
944,
952,
960,
968,
976,
984,
992,
"1,000",
"1,008",
"1,016",
"1,024",1
"1,032",1
"1,040",2
"1,048",1
"1,056",
"1,064",
"1,072",
"1,080",
"1,088",
"1,096",1
"1,104",1
"1,112",
"1,120",2
"1,128",
"1,136",
"1,144",
"1,152",
"1,160",
"1,168",
"1,176",
"1,184",
"1,192",2
"1,200",
"1,208",1
"1,216",
"1,224",
"1,232",2
"1,240",
"1,248",
"1,256",
"1,264",1
"1,272",
"1,280",
"1,288",
"1,296",
"1,304",
"1,312",
"1,320",
"1,328",
"1,336",
"1,344",
"1,352",
"1,360",
"1,368",
"1,376",
"1,384",
"1,392",
"1,400",
"1,408",
"1,416",
"1,424",
"1,432",
"1,440",
"1,448",
"1,456",
"1,464",
"1,472",
"1,480",
"1,488",
"1,496",
"1,504",
"1,512",
"1,520",
"1,528",
"1,536",
"1,544",
"1,552",
"1,560",
"1,568",
"1,576",
"1,584",
"1,592",1
