"","name","longitude","latitude","sample","event","year","month","day","time","country","state","county"
"1","Passerella iliaca",-60.9267531,46.7231397,"L1513797","S10560186",1967,6,179,4.75,"Canada","Nova Scotia","Inverness"
"2","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S10565728",1967,6,179,5.83,"Canada","Nova Scotia","Inverness"
"3","Passerella iliaca",-60.840826,46.8066396,"L1514717","S10566076",1967,6,179,6.92,"Canada","Nova Scotia","Inverness"
"4","Passerella iliaca",-60.7378423,46.8098901,"L1515006","S10567989",1967,6,179,9,"Canada","Nova Scotia","Inverness"
"5","Passerella iliaca",-60.9499598,46.6433671,"L1513759","S13158161",1968,6,159,9,"Canada","Nova Scotia","Inverness"
"6","Passerella iliaca",-60.4276797,46.6534642,"L1492888","S13398992",1968,6,160,13,"Canada","Nova Scotia","Victoria"
"7","Passerella iliaca",-60.9267531,46.7231397,"L1513797","S13477412",1968,6,172,4.65,"Canada","Nova Scotia","Inverness"
"8","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S13477609",1968,6,172,5.5,"Canada","Nova Scotia","Inverness"
"9","Passerella iliaca",-60.840826,46.8066396,"L1514717","S13479057",1968,6,172,6.33,"Canada","Nova Scotia","Inverness"
"10","Passerella iliaca",-60.840826,46.8066396,"L1514717","S13624516",1968,7,190,15,"Canada","Nova Scotia","Inverness"
"11","Passerella iliaca",-60.9267531,46.7231397,"L1513797","S14874023",1969,6,173,4.83,"Canada","Nova Scotia","Inverness"
"12","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S14875112",1969,6,173,5.92,"Canada","Nova Scotia","Inverness"
"13","Passerella iliaca",-60.840826,46.8066396,"L1514717","S14875247",1969,6,173,7,"Canada","Nova Scotia","Inverness"
"14","Passerella iliaca",-60.4663467,47.0021486,"L2200277","S14884569",1969,7,183,19,"Canada","Nova Scotia","Victoria"
"15","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S15680414",1970,6,171,5.83,"Canada","Nova Scotia","Inverness"
"16","Passerella iliaca",-60.840826,46.8066396,"L1514717","S15686315",1970,6,171,6.72,"Canada","Nova Scotia","Inverness"
"17","Passerella iliaca",-60.8003274,46.8268996,"L1514925","S15686450",1970,6,171,7.58,"Canada","Nova Scotia","Inverness"
"18","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S17396840",1971,6,171,5.65,"Canada","Nova Scotia","Inverness"
"19","Passerella iliaca",-60.840826,46.8066396,"L1514717","S17396873",1971,6,171,6.58,"Canada","Nova Scotia","Inverness"
"20","Passerella iliaca",-60.7378423,46.8098901,"L1515006","S17396926",1971,6,171,8.33,"Canada","Nova Scotia","Inverness"
"21","Passerella iliaca",-60.5140686,47.0016803,"L2200346","S17415503",1971,6,178,4.7,"Canada","Nova Scotia","Victoria"
"22","Passerella iliaca",-60.4888344,46.9199036,"L2329884","S17416331",1971,6,178,5.58,"Canada","Nova Scotia","Victoria"
"23","Passerella iliaca",-60.5062175,46.8850003,"L1653216","S17417025",1971,6,178,6.5,"Canada","Nova Scotia","Victoria"
"24","Passerella iliaca",-60.5951392,46.8446092,"L1569535","S17417228",1971,6,178,7.37,"Canada","Nova Scotia","Victoria"
"25","Passerella iliaca",-60.6529427,46.8195626,"L2709367","S17417372",1971,6,178,8.25,"Canada","Nova Scotia","Inverness"
"26","Passerella iliaca",-59.8487091,46.1020424,"L2293870","S18753300",1972,6,162,12.08,"Canada","Nova Scotia","Cape Breton"
"27","Passerella iliaca",-60.9267531,46.7231397,"L1513797","S18768588",1972,6,172,4.68,"Canada","Nova Scotia","Inverness"
"28","Passerella iliaca",-60.8863296,46.7406925,"L1514650","S18769119",1972,6,172,5.67,"Canada","Nova Scotia","Inverness"
"29","Passerella iliaca",-60.840826,46.8066396,"L1514717","S18770178",1972,6,172,6.58,"Canada","Nova Scotia","Inverness"
"30","Passerella iliaca",-60.5140686,47.0016803,"L2200346","S18786633",1972,6,178,5.03,"Canada","Nova Scotia","Victoria"
"31","Passerella iliaca",-60.4888344,46.9199036,"L2329884","S18787339",1972,6,178,5.9,"Canada","Nova Scotia","Victoria"
"32","Passerella iliaca",-60.5062175,46.8850003,"L1653216","S18787772",1972,6,178,6.73,"Canada","Nova Scotia","Victoria"
"33","Passerella iliaca",-60.5951392,46.8446092,"L1569535","S18788259",1972,6,178,7.6,"Canada","Nova Scotia","Victoria"
"34","Passerella iliaca",-68.53333,48.45,"L3827190","S24481434",1973,6,154,10,"Canada","Quebec","Rimouski-Neigette"
"35","Passerella iliaca",-68.4999275,48.4420702,"L3201213","S24577738",1973,6,154,10,"Canada","Quebec","Rimouski-Neigette"
"36","Passerella iliaca",-60.6376648,46.7384489,"L129653","S21937548",1977,6,176,5.5,"Canada","Nova Scotia","Victoria"
"37","Passerella iliaca",-64.2243576,48.5056871,"L3393103","S21938518",1977,6,174,0,"Canada","Quebec","Le Rocher-Percé"
"38","Passerella iliaca",-68.5108173,47.3025158,"L2274243","S14622640",1978,7,187,9.17,"Canada","New Brunswick","Madawaska"
"39","Passerella iliaca",-68.5108173,47.3025158,"L2274243","S14812003",1978,7,210,5.72,"Canada","New Brunswick","Madawaska"
"40","Passerella iliaca",-67.11667,48.85,"L4384773","S28231041",1978,7,189,4,"Canada","Quebec","La Matanie"
"41","Passerella iliaca",-68.25,48.05,"L3817490","S28231044",1978,6,162,0,"Canada","Quebec","Rimouski-Neigette"
"42","Passerella iliaca",-68.6058426,47.2549999,"L2291866","S14762815",1979,7,205,10.4,"Canada","New Brunswick","Madawaska"
"43","Passerella iliaca",-64.16667,48.5,"L4063628","S26258772",1979,6,154,10,"Canada","Quebec","Le Rocher-Percé"
"44","Passerella iliaca",-68.3333333,47.3666667,"L1881204","S14812119",1980,7,208,7.92,"Canada","New Brunswick","Madawaska"
"45","Passerella iliaca",-69.52949,47.83002,"L241185","S24196996",1980,7,192,9.83,"Canada","Quebec","Rivière-du-Loup"
"46","Passerella iliaca",-66.7749023,44.6139339,"L895092","S6334917",1980,6,172,5,"Canada","New Brunswick","Charlotte"
"47","Passerella iliaca",-68.9524484,47.3798416,"L2274257","S14622738",1981,7,188,10.37,"Canada","Quebec","Témiscouata"
"48","Passerella iliaca",-61.527558,47.557772,"L3043850","S21530808",1981,6,174,8,"Canada","Quebec","Les Îles-de-la-Madeleine"
"49","Passerella iliaca",-68.08333,48.23333,"L4996389","S32129332",1982,7,190,0,"Canada","Quebec","La Mitis"
"50","Passerella iliaca",-67.15,48.18333,"L5001593","S32129334",1982,7,193,8,"Canada","Quebec","La Matapédia"
"51","Passerella iliaca",-68.46667,48.51667,"L4996380","S32129354",1982,7,205,0,"Canada","Quebec","Rimouski-Neigette"
"52","Passerella iliaca",-68.53333,48.45,"L4996381","S32129361",1982,6,155,0,"Canada","Quebec","Rimouski-Neigette"
"53","Passerella iliaca",-68.53333,48.45,"L4996381","S32129362",1982,6,160,0,"Canada","Quebec","Rimouski-Neigette"
"54","Passerella iliaca",-68.53333,48.45,"L4996381","S32129367",1982,7,189,0,"Canada","Quebec","Rimouski-Neigette"
"55","Passerella iliaca",-68.53333,48.45,"L4996381","S32129378",1982,7,212,0,"Canada","Quebec","Rimouski-Neigette"
"56","Passerella iliaca",-68.78333,48.28333,"L4996385","S32129588",1982,6,171,0,"Canada","Quebec","Rimouski-Neigette"
"57","Passerella iliaca",-68.78333,48.28333,"L4996385","S32129590",1982,6,175,0,"Canada","Quebec","Rimouski-Neigette"
"58","Passerella iliaca",-68.78333,48.28333,"L4996385","S32129591",1982,7,207,0,"Canada","Quebec","Rimouski-Neigette"
"59","Passerella iliaca",-72.0166667,46.95,"L606722","S6517339",1982,6,170,5.75,"Canada","Quebec","Portneuf"
"60","Passerella iliaca",-70.7855538,47.0780936,"L164932","S6517488",1982,6,164,8,"Canada","Quebec","La Côte-de-Beaupré"
"61","Passerella iliaca",-67.86667,48.21667,"L4996387","S32129994",1983,7,194,17.5,"Canada","Quebec","La Mitis"
"62","Passerella iliaca",-68.78333,48.28333,"L4996385","S32129999",1983,6,164,4.25,"Canada","Quebec","Rimouski-Neigette"
"63","Passerella iliaca",-68.78333,48.28333,"L4996385","S32130000",1983,6,165,3.5,"Canada","Quebec","Rimouski-Neigette"
"64","Passerella iliaca",-68.46667,48.51667,"L4996380","S32130014",1983,6,179,5.17,"Canada","Quebec","Rimouski-Neigette"
"65","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130023",1983,6,176,5.5,"Canada","Quebec","La Mitis"
"66","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130024",1983,6,177,0,"Canada","Quebec","La Mitis"
"67","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130025",1983,7,182,6.33,"Canada","Quebec","La Mitis"
"68","Passerella iliaca",-68.46667,48.51667,"L4996380","S32130029",1983,6,153,6.5,"Canada","Quebec","Rimouski-Neigette"
"69","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130030",1983,6,169,5.83,"Canada","Quebec","Rimouski-Neigette"
"70","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130031",1983,6,172,0,"Canada","Quebec","Rimouski-Neigette"
"71","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130032",1983,7,184,5.58,"Canada","Quebec","Rimouski-Neigette"
