year,abundance,lowerci,upperci
1970,2.47,1.06,6.49
1971,2.18,0.893,5.88
1972,2.41,0.98,6.54
1973,2.32,1.02,5.83
1974,2.31,0.986,5.89
1975,1.88,0.825,4.8
1976,1.81,0.832,4.81
1977,1.74,0.813,4.15
1978,1.69,0.853,4.36
1979,1.91,0.984,4.61
1980,1.78,0.949,4.44
1981,1.82,0.973,4.08
1982,2.07,1.19,4.27
1983,2.05,1.12,4.26
1984,2.29,1.36,4.5
1985,2.4,1.42,4.57
1986,2.92,1.78,5.34
1987,2.77,1.71,4.9
1988,2.52,1.49,4.44
1989,2.35,1.39,4.3
1990,2.82,1.73,5.02
1991,2.32,1.39,4.07
1992,2.18,1.3,3.86
1993,2.1,1.22,3.74
1994,2.14,1.28,3.65
1995,1.95,1.18,3.4
1996,2.17,1.43,3.51
1997,2.09,1.26,3.61
1998,2.18,1.3,3.77
1999,2.19,1.31,3.69
2000,2.28,1.44,3.86
2001,2.18,1.34,3.64
2002,2.16,1.28,3.79
2003,2.09,1.29,3.71
2004,2.11,1.28,4.04
2005,2.17,1.36,3.79
2006,2.78,2,5.24
2007,2.92,2.04,5.02
2008,2.38,1.78,3.77
2009,2.11,1.39,3.24
2010,2.32,1.74,3.52
2011,2.48,1.9,3.77
2012,2.24,1.51,3.41
2013,2.31,1.71,3.33
2014,2.66,1.96,4.34
2015,2.16,1.63,3.01
